,precision,recall,f1-score,support
Insufficient_Weight,1.0,0.9629629629629629,0.9811320754716981,54.0
Normal_Weight,0.8636363636363636,0.9827586206896551,0.9193548387096774,58.0
Obesity_Type_I,0.971830985915493,0.9857142857142858,0.9787234042553191,70.0
Obesity_Type_II,1.0,0.9833333333333333,0.9915966386554622,60.0
Obesity_Type_III,1.0,0.9846153846153847,0.9922480620155039,65.0
Overweight_Level_I,0.9811320754716981,0.896551724137931,0.9369369369369369,58.0
Overweight_Level_II,0.9827586206896551,0.9827586206896551,0.9827586206896551,58.0
accuracy,0.9692671394799054,0.9692671394799054,0.9692671394799054,0.9692671394799054
macro avg,0.9713368636733157,0.9683849903061724,0.9689643681048932,423.0
weighted avg,0.9716896890835748,0.9692671394799054,0.9696184768585889,423.0
